Greed,http://codeforces.com/problemset/problem/892/A
Lust,http://codeforces.com/problemset/problem/891/E
Sloth,http://codeforces.com/problemset/problem/891/D
Envy,http://codeforces.com/problemset/problem/891/C
Gluttony,http://codeforces.com/problemset/problem/891/B
Pride,http://codeforces.com/problemset/problem/891/A
Mod Mod Mod,http://codeforces.com/problemset/problem/889/E
Xor-MST,http://codeforces.com/problemset/problem/888/G
Connecting Vertices,http://codeforces.com/problemset/problem/888/F
Maximum Subsequence,http://codeforces.com/problemset/problem/888/E
Almost Identity Permutations,http://codeforces.com/problemset/problem/888/D
K-Dominant Character,http://codeforces.com/problemset/problem/888/C
Buggy Robot,http://codeforces.com/problemset/problem/888/B
Local Extrema,http://codeforces.com/problemset/problem/888/A
Row of Models,http://codeforces.com/problemset/problem/887/F
Little Brother,http://codeforces.com/problemset/problem/887/E
Ratings and Reality Shows,http://codeforces.com/problemset/problem/887/D
Solution for Cube,http://codeforces.com/problemset/problem/887/C
Cubes for Masha,http://codeforces.com/problemset/problem/887/B
Div. 64,http://codeforces.com/problemset/problem/887/A
Symmetric Projections,http://codeforces.com/problemset/problem/886/F
Maximum Element,http://codeforces.com/problemset/problem/886/E
Restoration of string,http://codeforces.com/problemset/problem/886/D
Petya and Catacombs,http://codeforces.com/problemset/problem/886/C
Vlad and Cafes,http://codeforces.com/problemset/problem/886/B
ACM ICPC,http://codeforces.com/problemset/problem/886/A
Anti-Palindromize,http://codeforces.com/problemset/problem/884/F
Binary Matrix,http://codeforces.com/problemset/problem/884/E
Boxes And Balls,http://codeforces.com/problemset/problem/884/D
Bertown Subway,http://codeforces.com/problemset/problem/884/C
Japanese Crosswords Strike Back,http://codeforces.com/problemset/problem/884/B
Book Reading,http://codeforces.com/problemset/problem/884/A
Quadcopter Competition,http://codeforces.com/problemset/problem/883/M
